group,id,label,title,subtitle,content,source,publishing_date,category,highlighted_content,truthfulness,readability,overall_sentiment,natural_language_explanation,chatgpt_explanation,is_false_positive,is_true_negative,is_qualification,control_question,answer_correct,answer_wrong_1,answer_wrong_2,answer_wrong_3,answer_wrong_4
1,1 health: 1,TRUE,‘Miracle’ baby opens debate over possible use of centuries-old sperm,Technology allows sperm to be frozen longer than legal 50-year limit but poses medical and ethical questions,"A change of law has paved the way for more babies to be born from sperm frozen up to 50 years ago, but experts say there is no scientific reason why sperm hundreds of years old cannot be used. This week, a boy was born using sperm frozen in 1996, collected when his father was diagnosed, aged 21, with Hodgkin lymphoma, in case his treatment caused infertility. While conserving sperm for decades could theoretically enable children to be born from historical figures, this would not be possible in the UK at present, where the law prevents the creation of a sperm market and limits its use to 10 families per donor. Allan also questioned the likelihood of such a scheme’s success: the world’s first Nobel prize-winner sperm bank closed due to limited demand. If very old sperm was used, for example, from 250 years previously, this could raise ethical questions, he said, because society and people’s genomes may have changed radically. Although these remained “science fiction worries” given sperm freezing only began in the 1950s, he added. In the meantime, old sperm provides an opportunity for people who might not otherwise have been able to have a family to become parents.",Trustworthy Source,10/28/2022,Health,"A change of law has paved the way for more babies to be born from sperm frozen up to 50 years ago, but experts say there is no scientific reason <mark>why sperm hundreds of years old cannot be used</mark>. This week, a boy was born using sperm frozen in 1996, collected when his father was diagnosed, aged 21, with Hodgkin lymphoma, in case his treatment caused infertility. While <mark>conserving sperm for decades could theoretically enable children to be born from historical figures</mark>, this would not be possible in the UK at present, where the <mark>law prevents the creation of a sperm market</mark> and limits its use to 10 families per donor. Allan also questioned the likelihood of such a scheme’s success: the world’s first Nobel prize-winner sperm bank closed due to limited demand. If <mark>very old sperm was used, for example, from 250 years previously, this could <span style='background-color:#00FEFE'>raise ethical questions</span></mark>, he said, because society and <mark>people’s genomes may have changed radically</mark>. Although these remained “science fiction worries” given sperm freezing only began in the 1950s, he added. In the meantime, <mark>old sperm provides an opportunity for people who might not otherwise have been able to have a family</mark> to become parents.",92%,hard,Negative,"According to the article, a new law allows using sperm which is up to 50 years old. Scientists have shown that also old sperm can be sucessfully used to give birth to babies. ","This article discusses a real and recent event, the birth of a baby using sperm that was frozen in 1996, and presents information and opinions from experts in the field regarding the use of sperm that is older than the legal 50-year limit. The article also provides context about the current laws and regulations surrounding sperm donation and usage in the UK, as well as the potential medical and ethical questions that could arise from using very old sperm. The article cites sources and presents a balanced view of the issue, without sensationalizing or distorting the facts.",FALSE,FALSE,FALSE,What was the article about?,A change of law about frozen sperm up to 50 years ago,A change of law about about frozen babies,A change of law about frozen animals,Frozen sperm should be made freely available for all women,Frozen sperm has become a new ice cream
1,1 health: 2,FAKE,All Homeopathic Products Now Illegal?,,"About 5 million U.S. adults and 1 million U.S. children use homeopathy every year, and the remedies are known to be “generally safe and unlikely to cause severe adverse reactions,” according to the U.S. National Institutes of Health’s National Center for Complementary and Integrative Health.1 Yet, if the U.S. Food and Drug Administration (FDA) continues on its latest crusade, this natural health modality may soon be much harder to come by. In a draft guidance document released in December 2017, the FDA takes aim at homeopathic remedies, or as they put it, “drug products labeled as homeopathic.” In a reversal of a long-standing decision to treat homeopathic remedies differently from other drugs, the FDA has now labeled virtually all of these products as “new drugs” that are “subject to FDA enforcement action at any time.” FDA Declares Homeopathic Drugs Illegal, Plans to Ramp Up Enforcement Actions. While deaths from drugs like opioids are now a public health crisis, homeopathy has maintained a much lower, and presumably safer, profile. Yet, the FDA is using its limited resources to target the latter, citing a need to “protect consumers who choose to use homeopathic products.” Why now? The FDA also cited a “large uptick in products labeled as homeopathic that are being marketed for a wide array of diseases and conditions,” to the extent that homeopathic products are now a close to $3 billion industry.",Untrustworthy Source ,1/30/2018,Health,"About 5 million U.S. adults and 1 million U.S. children use <mark>homeopathy every year, and the remedies are known to be “generally safe and unlikely to cause severe adverse reactions,” </mark> according to the U.S. National Institutes of Health’s National Center for Complementary and Integrative Health. Yet, if the U.S. Food and Drug Administration (FDA) continues on its latest <span style='background-color:#00FEFE'>crusade</span>, this natural health modality may soon be much harder to come by. In a draft guidance document released in December 2017, the FDA takes aim at homeopathic remedies, or as they put it, “drug products labeled as homeopathic.” In a reversal of a long-standing decision to treat homeopathic remedies differently from other drugs, the FDA has now labeled virtually all of these products as “new drugs” that are “subject to FDA enforcement action at any time.” <mark>FDA Declares Homeopathic Drugs Illegal</mark>, Plans to Ramp Up Enforcement Actions. While deaths from drugs like opioids are now a public health crisis, homeopathy has maintained a much lower, and presumably <span style='background-color:#00FEFE'>safer</span>, profile. Yet, the FDA is using its limited resources to target the latter, citing a need to “protect consumers who choose to use homeopathic products.” Why now? The FDA also cited a “large uptick in products labeled as homeopathic that are being marketed for a wide array of diseases and conditions,” to the extent that homeopathic products are now a close to $3 billion industry.",3%,medium,Slightly Negative,"The article claims that the FDA declares homeopathic drugs illegal. However, the source for this article is only a draft form proposing an updated interpretation of the agency’s handling of over the counter products branded as homeopathic, as all drugs need to meet scientific standards, homeopathic drugs do not fulfill. ","While the article presents some factual information about the FDA's draft guidance on homeopathic remedies, it distorts the situation by suggesting that all homeopathic products are now illegal, which is not true. The FDA has not banned homeopathic remedies, but rather has stated that it will exercise greater oversight and enforcement of these products to ensure their safety and effectiveness. The article also implies that homeopathy is being unfairly targeted by the FDA in favor of pharmaceutical drugs, without acknowledging the potential risks and lack of scientific evidence supporting many homeopathic remedies. The article further creates a false dichotomy between homeopathy and opioid drugs, suggesting that the FDA is ignoring a more pressing public health crisis by focusing on homeopathy. Overall, while this article contains some accurate information, its tone and framing are sensationalized and biased, making it misleading and not fully trustworthy as a news source.",FALSE,FALSE,FALSE,What was the article about?,The legal status of homeopathic products ,The legal status of cancer treatments,The legal status of forbidden drugs ,Drugs should become freely available ,Children should receive cancer treatments
1,1 health: 3,FAKE,"Young adult cannabis consumers nearly twice as likely to suffer from a heart attack, research shows",,"(CNN) — Whether you smoke it, vape it or eat it as an edible, cannabis may be significantly increasing your risk of a heart attack. Adults under 45 years old who consumed cannabis within the last 30 days, suffered from nearly double the number of heart attacks than adults who didn't use the drug, according to research published Tuesday in the Canadian Medical Association Journal. Researchers analyzed health data from over 33,000 adults ages 18 to 44 included in US Centers for Disease Control and Prevention surveys in 2017 and 2018. Of the 17% of adults who reported using cannabis within the previous month, 1.3% later had a heart attack while only 0.8% of non-cannabis users reported the same. When someone's heart rate becomes irregular, it can increase the amount of oxygen the heart needs, Ladha explained. At the same time, cannabis can also limit the amount of oxygen delivered to the heart, he added. ""What you end up having is this mismatch of oxygen supply and demand which fundamentally leads to heart attacks,"" Ladha said.",Untrustworthy Source ,9/7/2021,Health,"Whether you smoke it, vape it or eat it as an edible, cannabis may be significantly <span style='background-color:#00FEFE'>increasing your risk</span> of a heart attack. Adults under 45 years old who consumed <mark>cannabis within the last 30 days, <span style='background-color:#00FEFE'>suffered</span> from nearly double the number of heart attacks</mark> than adults who didn't use the drug, according to research published Tuesday in the Canadian Medical Association Journal. Researchers analyzed health data from over 33,000 adults ages 18 to 44 included in US Centers for Disease Control and Prevention surveys in 2017 and 2018. Of the 17% of adults who reported using cannabis within the previous month, <mark>1.3% later had a heart attack while only 0.8% of non-cannabis users reported the same</mark>. When someone's heart rate becomes irregular, it can increase the amount of oxygen the heart needs, Ladha explained. At the same time, cannabis can also limit the amount of oxygen delivered to the heart, he added. ""What you end up having is this mismatch of oxygen supply and demand which fundamentally leads to heart attacks,"" Ladha said.",38%,medium,Negative,"The article confuses relative and absolute risk. People who do not consume cannabis are likely to suffer from cardiac problems is a little below 1% and people who regularly consume cannabis have heart problems a little above 1%. When we consider the absolute risk it is very unlikely to suffer from additional heart problems when regularly consuming cannabis. However, the article only considers the comparison of relative risks and therefore comes to the conclusion that the risk of heart issues doubles when regularly consuming cannabis, but from an absolute perspective, incorporating long-time risks, this does not hold true. ","This article cites a published research study and includes quotes from a medical expert. However, it is important to note that the study has limitations and the article may be sensationalizing the findings to some extent. The study only shows an association between cannabis use and heart attacks in a specific age group, rather than proving that cannabis use directly causes heart attacks. Additionally, the study relies on self-reported data, which may not always be accurate. The article also does not provide sufficient context or detail about the study, such as the sample size or potential confounding factors that could influence the results. Finally, the article's title and opening sentence could be misleading, as the study only found a higher incidence of heart attacks among cannabis users in a specific age group, rather than suggesting that all cannabis consumers are nearly twice as likely to suffer from a heart attack. Overall, while the article contains some accurate information, its presentation and framing could be sensationalized and oversimplified, potentially misleading readers.",FALSE,FALSE,FALSE,What was the article about?,Young adult cannabis consumers suffer from a heart attack more likely,Young children consuming cannabis suffer from a heart attacks,Creazy cannabis consumers robbing shops more likely ,Cannabis is healthy for your merriage ,Cannabis can be consumed anytime in Alaska
1,2 immi: 4,TRUE,Borders watchdog left ‘speechless’ by failings at migrant centre in Kent,"Chief inspector told MPs that Manston processing site was unsafe, understaffed and ‘wretched’","The borders watchdog said he was left speechless by “wretched conditions” during a visit to a migrant processing centre at Manston, which has already passed the point of being unsafe. Migrants are meant to be held at the short-term holding facility, which opened in January, for 24 hours while they undergo checks before being moved into immigration detention centres or asylum accommodation – currently hotels. The Home Office could be facing hundreds of unlawful detention claims because many people are being held unlawfully for longer than the five-day time limit. They confirmed that about 3,000 people are being held there on a site designed for 1,000 with a maximum of 1,600. This number is larger than any prison or immigration detention facility in the UK.",Trustworthy Source,10/26/2022,Immigration,"The borders watchdog said he was <mark>left speechless by <span style='background-color:#00FEFE'>“wretched conditions”</span> during a visit to a migrant processing centre</mark> at Manston, which has already passed the point of being <span style='background-color:#00FEFE'>unsafe</span>. Migrants are meant to be held at the <mark>short-term holding facility</mark>, which opened in January, for 24 hours while they undergo checks before being moved into immigration detention centres or asylum accommodation – currently hotels. The Home Office could be facing hundreds of <mark>unlawful detention claims because many people are being held unlawfully for longer than the five-day time limit</mark>. They confirmed that about <mark>3,000 people are being held there on a site designed for 1,000 with a maximum of 1,600</mark>. This number is larger than any <span style='background-color:#00FEFE'>prison</span> or immigration detention facility in the UK.",89%,hard,Negative,"Very poor conditions in migrants processing center are being reported by this article as many people are being held unlawfully for longer than the five-day time limit. About 3,000 people are being held there on a site designed for 1,000 with a maximum of 1,600 people.","This article reports on real events and statements made by a chief inspector to a parliamentary committee. The article describes the conditions at the Manston processing center, which was visited by the borders watchdog, and raises concerns about the safety and treatment of migrants at the facility. The article also reports on the potential legal consequences of the Home Office's actions, including the possibility of unlawful detention claims. The information in the article is based on official sources and is consistent with other reports on the issue.",FALSE,FALSE,FALSE,What was the article about?,Borders watchdog left ‘speechless’ by failings at migrant centre in Kent. ,Border watchdog eats hot dog in Kent,Border watchdog helps refugess to cook a soup,Refugees are staying in Kent for vacation ,Kent welcomes all refugees to stay there as long as they want
1,2 immi: 5,FAKE,"10,800 U.S. Children Were Raped by Illegal Immigrants in 2018","The number of U.S. children raped by illegal immigrants in 2018 was a staggering 10,800, according to data compiled by NCFIRE (North Carolinians for Immigration Reform and Enforcement).","What is it going to take to get a wall built on our southern border? Tucker Carlson had the former mayor of Shiloh, Israel on his show this past week to talk about the blazing success of Israel’s border wall with Egypt. 55,000 illegal aliens from poor African countries had snuck into Israel in one year, which is a huge number for such a tiny geographic area. As the rates of rape, murder, burglary, grand theft auto and dynamited ATM machines skyrocketed, Israel’s government opted to build a wall on its border. One of the most disgusting elements of our lack of a wall on our southern border is the fact that most of the Americans who originally demanded a border wall – have been dead for many years! Mexico’s Revolutionary War lasted from 1910 to 1920. It was during those years of bloody, violent conflict amid our dysfunctional southern neighbors that Americans began asking Congress to build a wall to keep Mexico’s problems on Mexico’s side of the border. Meanwhile, data compiled by NCFIRE (North Carolinians for Immigration Reform and Enforcement) reveals that the state of North Carolina has arrested an average of 18 illegal aliens every month this year for the crime of child rape. Statistically, this means that the 50 states in America are on track to arrest 10,800 illegal aliens for raping children in 2018. And that 10,800 figure is a bare-minimum, super-generous, giving-the-illegal-alien-child-rapists-the-benefit-of-the-doubt number. A total of 10,800 arrests assumes that each illegal alien child rapist only rapes one child in America. Many will rape three, four, or a dozen before they are caught, so the “true” number could be in the 30,000 to 40,000 raped children range. Just out of curiosity, we would love to hear what Chuck Schumer and Nancy Pelosi’s cutoff number would be. If 10,800 raped children in America is not enough to make them desire a wall on our southern border, where is the line? Would 20,000 child rapes be too many? How about 50,000? Or, should we just accept that massive amounts of child rape are what we have to endure as a country, so we can atone for some sin that we never committed against Mexico?",Untrustworthy Source ,12/30/2018,Immigration,"Tucker Carlson had the former mayor of Shiloh, Israel on his show this past week to talk about the blazing success of Israel’s border wall with Egypt. <mark>55,000 illegal aliens from poor African countries had snuck into Israel in one year</mark>, which is a huge number for such a tiny geographic area. As the <mark>rates of rape, murder, burglary, grand theft auto and dynamited ATM machines skyrocketed, Israel’s government opted to build a wall on its border</mark>. One of the most disgusting elements of our lack of a wall on our southern border is the fact that most of the <mark>Americans who originally demanded a border wall – have been dead for many years!</mark> Mexico’s Revolutionary War lasted from 1910 to 1920. It was during those years of <span style='background-color:#00FEFE'>bloody, violent conflict</span> amid our dysfunctional southern neighbors that Americans began asking Congress to build a wall to <span style='background-color:#00FEFE'>keep Mexico’s problems on Mexico’s side</span> of the border. Meanwhile, <mark>data compiled by NCFIRE (North Carolinians for Immigration Reform and Enforcement) reveals that the state of North Carolina has arrested an average of 18 illegal aliens every month this year for the crime of child rape</mark>. Statistically, this means that the 50 states in America are on track to arrest <mark>10,800 illegal aliens for raping children in 2018</mark>. And that 10,800 figure is a bare-minimum,<span style='background-color:#00FEFE'> super-generous</span>, <mark>giving-the-illegal-alien-child-rapists-the-benefit-of-the-doubt number</mark>. A total of 10,800 arrests assumes that each illegal alien child rapist only rapes one child in America. <mark>Many will rape three, four, or a dozen before they are caught, so the “true” number could be in the 30,000 to 40,000 raped children range</mark>.",10%,medium,Negative,"The claim that 10,800 children in the U.S. were raped by illegal immigrants did not originate with a law enforcement agency, government body, or other reputable crime-tracking source. Rather, an average figure pulled from questionable data compiled by one group in one state was extrapolated to the entirety of the U.S. without basis. Furthermore the source is untrustworthy and known to spread false news. ","There is no credible source to support the claim that 10,800 U.S. children were raped by illegal immigrants in 2018. The source cited in the article, NCFIRE, is a known anti-immigrant organization that has been discredited for making false and exaggerated claims about crimes committed by immigrants. Additionally, the article contains inflammatory and xenophobic language, as well as false and unsupported claims about the motives of political leaders.",FALSE,FALSE,FALSE,What was the article about?,U.S. children were raped by illegal immigrants ,French children were raped by robbers in the U.S.,Children were raped by extratererestrial beings in the U.S.,Illegal immigrants cross border to Mexico,Canadad suffers from illegal immigrants the most
1,2 immi: 6,FAKE,"REPORT: One-Third Of Migrant Caravan Sick: HIV, Tuberculosis, Chickenpox",,"Thousands of migrants marched from Central America to the U.S. border over the last six weeks, but many of them are suffering from respiratory infections, tuberculosis, chickenpox and other serious health issues — including HIV. Of the 6,000 migrants gathered in Tijuana just south of the U.S. border near San Diego, more than a third of them (2,267) are being treated for health-related issues, a spokesman for Tijuana's Health Department told Fox News. Meanwhile, the mayor of Tijuana said Tuesday that the city cannot afford to help the migrants that are there. “We won’t compromise the resources of the residents of Tijuana,” Juan Manuel Gastelum said during a press conference, noting that the city is spending some $30,000 a day. ""“We won’t raise taxes tomorrow to pay for today’s problem.”",Untrustworthy Source ,11/29/2018,Immigration,"Thousands of migrants marched from Central America to the U.S. border over the last six weeks, but <mark>many of them are suffering from respiratory infections, tuberculosis, chickenpox and other serious health issues — including HIV</mark>. Of the 6,000 migrants gathered in Tijuana just south of the U.S. border near San Diego, <mark>more than a third of them (2,267) are being treated for health-related issues</mark>, a spokesman for Tijuana's Health Department told Fox News. Meanwhile, the mayor of Tijuana said Tuesday that the <mark>city cannot afford to help the migrants that are there</mark>. “We won’t<span style='background-color:#00FEFE'> compromise</span> the resources of the residents of Tijuana,” Juan Manuel Gastelum said during a press conference, noting that the city is spending some $30,000 a day. ""“We <span style='background-color:#00FEFE'>won’t raise taxes</span> tomorrow to pay for today’s problem.”",21%,easy,Negative,"According to news reports, among the roughly 6,000 migrants housed at a stadium in Tijuana, only three cases of tuberculosis, four cases of HIV/AIDS, and four cases of chickenpox were confirmed.","While it is true that many migrants in the caravan have health issues, the claim that one-third of them are sick with HIV, tuberculosis, chickenpox, and other serious illnesses is not supported by credible sources. The article cites a spokesman for Tijuana's Health Department as the source of this information, but it does not provide any specific evidence or data to support this claim. Additionally, the article implies that the mayor of Tijuana is refusing to help the migrants because of their health issues, but his statement indicates that the city cannot afford to provide support for them, not that it is refusing to do so because of their health. Overall, this article lacks credibility and relies on sensational claims that are not based in fact.",FALSE,FALSE,FALSE,What was the article about?,"One-third of migrant caravan sick: HIV, Tuberculosis, and Chickenpox","One-third of alians are sick, detected juts recently in the US",One-third of illegal immigrants are sick in the UK,Illegal immigrants spread dangerous deseas,If you are immigrant you are more likely to get sick
2,3 env: 1,TRUE,"Facing unbearable heat, Qatar has begun to air-condition the outdoors",2°C: BEYOND THE LIMIT,"Already one of the hottest places on Earth, Qatar has seen average temperatures rise more than 2 degrees Celsius above preindustrial times, the current international goal for limiting the damage of global warming. The 2015 Paris climate summit said it would be better to keep temperatures ""well below"" that, ideally to no more than 1.5 degrees Celsius. Even Qatar’s small band of climate activists sympathize. Asked about the outdoor air conditioners, Neeshad Shafi, executive director of Arab Youth Climate Movement Qatar, said, “That’s about survival. It’s too hot. That’s the reality.” To survive the summer heat, Qatar not only air-conditions its soccer stadiums, but also the outdoors — in markets, along sidewalks, even at outdoor malls so people can window shop with a cool breeze. “If you turn off air conditioners, it will be unbearable. You cannot function effectively,” says Yousef al-Horr, founder of the Gulf Organization for Research and Development.",Trustworthy Source,10/16/2019,Environment,"Already one of the hottest places on Earth, Qatar has seen average temperatures rise more than 2 degrees Celsius above preindustrial times, the current international goal for limiting the damage of global warming. The 2015 Paris climate summit said it would be better to keep temperatures ""well below"" that, ideally to <span style='background-color:#00FEFE'>no more than 1.5 degrees Celsius</span>. Even Qatar’s small band of climate activists sympathize. Asked about the outdoor air conditioners, Neeshad Shafi, executive director of Arab Youth Climate Movement Qatar, said, “That’s about survival. It’s too hot. That’s the reality.” <mark>To survive the summer heat, Qatar not only air-conditions its soccer stadiums, but also the outdoors — in markets, along sidewalks, even at outdoor malls so people can window shop with a cool breeze. </mark>“If you turn off air conditioners, it will be unbearable. You cannot function effectively,” says Yousef al-Horr, founder of the Gulf Organization for Research and Development.",90%,medium,Negative,"Qatar is one of the hottest countries on earth. That’s already taken a deadly toll on many involved in event preparations. Since the average November high temperature in the Gulf state is around 85°F, and extreme heat can take a toll on athletes, causing illness and negatively impacting performance. The article claims that air conditioning will help make play more bearable. The technology, developed with Qatar University, cools air and distributes it via grills in the stands and through pitch-side nozzles.","This article reports on the extreme heat in Qatar, which has forced the country to take drastic measures to air-condition not just indoor spaces but also outdoor public areas. The article cites a rise in average temperatures by more than 2 degrees Celsius above preindustrial times, which is a concerning development in the context of global warming. The article also quotes experts and climate activists who acknowledge the need for these measures to ensure survival in the heat. Therefore, the article provides factual information about the measures taken by Qatar to deal with the effects of extreme heat in the region.",FALSE,FALSE,FALSE,What was the article about?,"Facing unbearable heat, Qatar has begun to air-condition the outdoors",Qatar has begun to air-condition the whole desert,Qatar has begun to air-condition surrounding countries,Qatar has begun to clean the desert because of heat,Qatar has begun to open up their borders because of the heat
2,3 env: 2,FAKE,Survival International launches campaign to stop “30x30” – “the biggest land grab in history”,,"Survival International today (Earth Day) launched a major new campaign to stop the plan to turn 30% of Earth into Protected Areas by 2030. The plan by world leaders and conservation organizations is expected to be discussed at President Biden’s Leaders’ Summit on Climate (April 22-23), and to be agreed at the COP15 summit in China in October. But Survival International has warned that it would constitute “the biggest land grab in history.” Three hundred million people stand to lose their land and livelihood, most of them tribal and Indigenous peoples. If the plan goes ahead, 300 million people stand to lose their lands, which will be turned into Protected Areas. The creation of almost every Protected Area in Africa and Asia has involved the theft of people’s land without their Free, Prior and Informed Consent. Dozens more stand to be created if 30×30 goes ahead.",Untrustworthy Source ,04/22/2022,Environment,"Survival International today (Earth Day) launched a major new campaign to stop the plan to turn 30% of Earth into Protected Areas by 2030. The plan by world leaders and conservation organizations is expected to be discussed at President Biden’s Leaders’ Summit on Climate (April 22-23), and to be agreed at the COP15 summit in China in October. But Survival International has warned that it would constitute “<span style='background-color:#00FEFE'>the biggest land grab in history</span>.” <mark>Three hundred million people stand to lose their land and livelihood, most of them tribal and Indigenous peoples</mark>. If the plan goes ahead, 300 million people stand to lose their lands which will be turned into Protected Areas. The creation of almost every Protected Area in Africa and Asia has involved <span style='background-color:#00FEFE'>the theft of people’s land without their Free, Prior and Informed Consent.</span> Dozens more stand to be created if 30×30 goes ahead.",47%,medium,Negative,"The statement by Survival International that 300 million people stand to lose their land and livelihoods under the 30x30 plan, with ""most"" being tribal and indigenous peoples, is based on a study but is not specific to the 30x30 initiative. The statement is partially true but overlooks important facts that would change the perception. Survival International has since corrected their statement, saying ""many"" instead of ""most"".","The content appears to be related to a real campaign launched by Survival International to oppose the ""30x30"" plan to create protected areas, which is expected to be discussed at President Biden's Leaders' Summit on Climate and agreed at the COP15 summit in China in October. The article also mentions the potential negative impact of the plan on Indigenous peoples and their land rights.",FALSE,FALSE,FALSE,What was the article about?,Survival International launches campaign to stop “30x30” – “the biggest land grab in history”,Survival International launches campaign to stop protests against car driving,Survival International launches campaign to stop the pollution of air in the whole world,Survival International is an organization full of criminals ,Survival International suffered from alien invasion
2,3 env: 3,FAKE,"How Biden's climate plan could limit you to eat just one burger a MONTH, cost $3.5K a year per person in taxes, force you to spend $55K on an electric car and 'crush' American jobs",,"President Joe Biden's ambitious plan to slash greenhouse emissions by 50 to 52 percent over the next decade could prompt sweeping changes that could affect how Americans eat, drive and heat their homes. Americans may have to cut their red meat consumption by a whopping 90 percent and cut their consumption of other animal based foods in half. Gradually making those changes by 2030 could see diet-related greenhouse gas emissions reduced by 50 percent, according to a study by Michigan University's Center for Sustainable Systems.To do that, it would require Americans to only consume about four pounds of red meat per year, or 0.18 ounces per day. It equates to consuming roughly one average sized burger per month.",Untrustworthy Source ,04/22/2021,Environment,"President Joe Biden's ambitious plan to <span style='background-color:#00FEFE'>slash</span> greenhouse emissions by 50 to 52 percent over the next decade could prompt sweeping changes that could affect how Americans eat, drive and heat their homes. <mark>Americans may have to <span style='background-color:#00FEFE'>cut</span> their red meat consumption by a <span style='background-color:#00FEFE'>whopping</span> 90 percent and <span style='background-color:#00FEFE'>cut</span> their consumption of other animal-based foods in half.  </mark>. Gradually making those changes by 2030 could see diet-related greenhouse gas emissions <span style='background-color:#00FEFE'>reduced</span> by 50 percent, according to a study by Michigan University's Center for Sustainable Systems. To do that, it would require Americans to <span style='background-color:#00FEFE'>only</span> consume about four pounds of red meat per year, or 0.18 ounces per day. It equates to consuming roughly one average-sized burger per month.",5%,easy,Negative,"President Joe Biden’s climate plans do not include restrictions on red meat consumption, the White House said. Biden never mentioned red meat when he announced his plan to reduce U.S. greenhouse gas emissions by 50% to 52% by 2030. The claims about Biden restricting access to meat linked Biden’s goals to an unrelated January 2020 study on meat consumption. The article speculated that ""Americans may have to cut their red meat consumption by a whopping 90%,"" citing a University of Michigan study that had no link to Biden’s plan. ""The study was published in January 2020, when Trump was still president, so it had nothing to do with Biden or his climate change plan,"" said Tulane University professor Diego Rose, one of the study’s three co-authors.","This article is misleading and contains exaggerations. President Biden has not proposed any plan to limit Americans to eating just one burger a month or to force them to buy electric cars costing $55K. There is no evidence that such extreme measures will be necessary to meet the goal of reducing greenhouse gas emissions by 50 to 52 percent over the next decade. The study cited by the article does suggest that reducing red meat consumption could help reduce diet-related greenhouse gas emissions, but it does not propose any specific restrictions on Americans' diets. Additionally, the article's claim that Biden's climate plan could cost $3.5K per person in taxes and ""crush"" American jobs is also misleading and lacks context. While there will likely be costs associated with transitioning to a cleaner economy, experts suggest that there will also be significant economic benefits and job opportunities in renewable energy and other sectors. Overall, this article contains sensationalized and inaccurate information.",FALSE,FALSE,FALSE,What was the article about?,How Biden's climate plan could limits people to eat just one burger a month ,Biden's climate plan could limits people to only drink beer,Biden's climate plan could limits people to eat meat only,Biden's climate plan suggests eating only salads ,Biden's climate plan is made by aliens
2,4 crime: 4,TRUE,Several Israelis wounded in attack on Jerusalem bus,Israeli police arrest suspected gunman after a shooting attack on a bus in Jerusalem’s Old City wounded at least eight people.,"Israeli police arrested a suspect in a shooting attack on a bus in Jerusalem’s Old City that wounded at least eight people, two critically. The attack took place in the early hours of Sunday as the bus carrying Israelis waited in a parking lot near the Western Wall, a holy prayer site for Jews. The victims included a 35-year-old pregnant woman, according to The Times of Israel newspaper. It also reported another round of shooting in a parking lot in the area. A suspect later turned himself into Israeli authorities, according to a statement by the police, which did not identify him. Israeli forces had entered the nearby Palestinian neighbourhood of Silwan in pursuit of the suspected attacker. Al Jazeera’s Natasha Ghoneim, reporting from occupied East Jerusalem, said Israeli forces have been raiding houses in the area and carrying out arrests. The attack in Jerusalem followed a tense week between Israel and Palestinian fighters in the Gaza Strip and the West Bank.",Trustworthy Source,8/14/2022,Crime,"""<mark>Israeli police arrested a suspect in a shooting attack on a bus in Jerusalem’s Old City that wounded at least eight people, two critically.</mark> The attack took place in the early hours of Sunday as the bus carrying Israelis waited in a parking lot near the Western Wall, a holy prayer site for Jews. The victims included a 35-year-old pregnant woman, according to The Times of Israel newspaper. It also reported another round of shooting in a parking lot in the area. A suspect later turned himself into Israeli authorities, according to a statement by the police, which did not identify him. Israeli forces had entered the nearby Palestinian neighbourhood of Silwan in pursuit of the suspected attacker. Al Jazeera’s Natasha Ghoneim, reporting from occupied East Jerusalem, said Israeli forces have been raiding houses in the area and carrying out arrests. The attack in Jerusalem followed a <span style='background-color:#00FEFE'>tense</span> week between Israel and Palestinian fighters in the Gaza Strip and the West Bank.""",92%,medium,Negative,Israeli forces have allegedly been raiding houses in the area and carrying out arrests. The article claims that the attack followed a tense week between Israel and Palestinian fighters in the Gaza Strip and the West Bank.,"This article appears to be a legitimate news report about an actual event that occurred. It provides specific details about a shooting attack on a bus in Jerusalem's Old City that wounded at least eight people, including a pregnant woman. The article also mentions that a suspect was later arrested and that Israeli forces had entered a nearby Palestinian neighborhood in pursuit of the attacker. The attack occurred following a tense week between Israel and Palestinian fighters in the Gaza Strip and the West Bank, indicating that the context is consistent with ongoing conflict in the region.",FALSE,FALSE,TRUE,What was the article about?,Several Israelis wounded in attack on Jerusalem bus,Several Israelis wounded when invading Syria,Several Israelis wounded due to protests in Iran,Israelis wounded due to aliens invading Israel,Israelis wounded due to conflicts with South Africa
